XrefEntry,Phrasal,XrefType,
abandon,call off,synonym,
abandon,give up,synonym,
abandon,throw up,synonym,
abolish,do away with,synonym,
absorb,take in,synonym,
absorb,take in,synonym,
absorb,take in,synonym,
abuse,interfere with,synonym,
accelerate,speed up,synonym,
accept,bow to,synonym,
accumulate,add up,synonym,
accumulate,pile up,synonym,
acquire,take on,synonym,
address,deal with,synonym,
admire,look up to,synonym,
admit,let in,synonym
admit,let on,synonym
advance,get ahead,synonym
afflict,strike down,synonym
agree,come around,synonym
alight,light on,synonym
allow,permit of,synonym
amplify,flesh out,synonym
amuse,crease up,synonym
anaesthetize,put under,synonym
annoy,get to,synonym
annoy,piss off,synonym
annoy,tee off,synonym
annoy,wind up,synonym
anticipate,look forward to,synonym
appear,break out,synonym
appear,come across,synonym
appear,come along,synonym
appear,come off as,synonym
appear,come out,synonym
appear,come over,synonym
appear,roll up,synonym
appear,spring up,synonym
apply,put on,synonym
appoint,put in,synonym
apportion,portion out,synonym
approach,border on,synonym
approach,come at,synonym
approach,come up,synonym
approach,come up to,synonym
argue,talk back,synonym
arise,come up,synonym
arise,come up,synonym
arise,come up,synonym
arouse,stir up,synonym
arouse,stir up,synonym
arrange,fix up,synonym
arrange,line up,synonym
arrest,pull in,synonym
arrest,run in,synonym
arrive,come in,synonym
arrive,draw in,synonym
arrive,get in,synonym
arrive,get in,synonym
arrive,pull in,synonym
ask,call on,synonym
assemble,bring together,synonym
assemble,piece together,synonym
assemble,put together,synonym
assemble,put together,synonym
assess,size up,synonym
assess,weigh up,synonym
assign,put on,synonym
attack,beat up,synonym
attack,go for,synonym
attack,hit out,synonym
attack,lay about,synonym
attack,light into,synonym
attack,set about,synonym
attack,set on,synonym
attend,turn out,synonym
attend,turn up,synonym
attract,bring in,synonym
attract,bring into,synonym
attract,pull in,synonym
attribute,chalk up,synonym
attribute,put down to,synonym
audition,read for,synonym
avoid,keep off,synonym
back,side with,synonym
bankrupt,clean out,synonym
bark,rap out,synonym
begin,break into,synonym
begin,kick off,synonym
begin,kick off,synonym
begin,lead off,synonym
begin,set about,synonym
begin,start off,synonym
begin,strike up,synonym
begin,take to,synonym
benefit,cash in,synonym
betray,give away,synonym
betray,give away,synonym
betray,grass on,synonym
betray,grass up,synonym
betray,rat on,synonym
bin,chuck out,synonym
block,bung up,synonym
block,cut off,synonym
block,fill in,synonym
block,pen in,synonym
boost,build up,synonym
boost,buoy up,synonym
boost,pump up,synonym
boost,soup up,synonym
borrow,check out,synonym
bother,play up,synonym
bribe,buy off,synonym
bribe,pay off,synonym
brighten,light up,synonym
broadcast,put out,synonym
broaden,open out,synonym
broaden,open up,synonym
burden,weigh down,synonym
burden,weigh on,synonym
burgle,break into,synonym
burgle,turn over,synonym
calculate,work out,synonym
call,phone up,synonym
call,ring up,synonym
cancel,call off,synonym
cancel,cry off,synonym
cancel,write off,synonym
capitulate,cave in,synonym
capsize,keel over,synonym
catch,go down with,synonym
catch,pick up,synonym
cause,bring about,synonym
cause,bring on,synonym
cause,set up,synonym
challenge,take on,synonym
choose,pick out,synonym
choose,plump for,synonym
chuck,pack in,synonym
clean,go over,synonym
clean,wash down,synonym
close,board up,synonym
close,push to,synonym
clown,fool around,synonym
cohabit,live together,synonym
collapse,break down,synonym
collapse,cave in,synonym
collapse,fall apart,synonym
collapse,flake out,synonym
collapse,keel over,synonym
collect,pick up,synonym
collect,rack up,synonym
collect,scrape together,synonym
communicate,put across,synonym
complete,fill in,synonym
complete,fill out,synonym
complete,finish off,synonym
complete,tie up,synonym
comprehend,cotton on,synonym
conceal,blot out,synonym
conceal,paper over,synonym
conclude,wrap up,synonym
concoct,dream up,synonym
confess,cough up,synonym
confess,own up,synonym
confine,shut in,synonym
conform,fit in,synonym
confuse,mix up,synonym
confuse,mix up,synonym
confuse,muddle up,synonym
connect,hook up,synonym
connect,hook up,synonym
connect,put through,synonym
conscript,call up,synonym
consider,chew over,synonym
consider,look at,synonym
consider,think through,synonym
constitute,amount to,synonym
constitute,make up,synonym
constrain,box in,synonym
consume,eat up,synonym
consume,eat up,synonym
consume,eat up,synonym
consume,put away,synonym
contain,bottle up,synonym
continue,go on,synonym
continue,go on,synonym
continue,go on,synonym
continue,take up,synonym
contract,come down with,synonym
contribute,chip in,synonym
contribute,kick in,synonym
convey,get across,synonym
convey,pass on,synonym
copy,back up,synonym
corroborate,back up,synonym
couple,hook up,synonym
cover,deal with,synonym
crash,fall over,synonym
crash,go down,synonym
crash,keel over,synonym
criticize,lay into,synonym
criticize,take apart,synonym
cross,pass through,synonym
dampen,damp down,synonym
date,go with,synonym
deceive,put on,synonym
deceive,string along,synonym
deceive,take in,synonym
decelerate,slow down,synonym
decline,fall off,synonym
decrease,come down,synonym
decrease,go down,synonym
dedicate,devote to,synonym
defeat,dispose of,synonym
defect,cross over,synonym
