headword,part(s) of speech,stars
a,determiner,3
abandon,verb,2
abbreviation,noun,1
ability,noun,3
able,adj,3
abnormal,adj,1
aboard,"adv,_preposition",1
abolish,verb,2
abortion,noun,2
about,"adv,_preposition",3
above,"adj,_adv,_preposition",3
abroad,adv,3
absence,noun,3
absent,adj,2
absolute,adj,2
absolutely,adv,3
absorb,verb,2
abstract,adj,2
absurd,adj,1
abuse,noun,2
abuse,verb,1
academic,adj,3
academy,noun,1
accelerate,verb,1
accelerator,noun,1
accent,noun,2
accept,verb,3
acceptable,adj,2
acceptance,noun,2
accepted,adj,1
access,noun,3
accessory,noun,2
accident,noun,3
accidental,adj,1
accidentally,adv,1
accommodate,verb,1
accommodation,noun,2
accompany,verb,2
accomplish,verb,1
accord,noun,1
accordance,noun,1
accordingly,adv,1
according_to,preposition,3
account,noun,3
account,verb,3
accountant,noun,2
accounting,noun,1
accumulate,verb,1
accuracy,noun,2
accurate,adj,2
accusation,noun,1
accuse,verb,3
ache,verb,1
ache,noun,1
achieve,verb,3
achievement,noun,3
acid,noun,2
acknowledge,verb,2
acquaintance,noun,1
acquire,verb,2
acquisition,noun,2
acre,noun,1
across,"adv,_preposition",3
act,noun,3
act,verb,3
acting,noun,1
action,noun,3
activate,verb,1
active,adj,3
activist,noun,1
activity,noun,3
actor,noun,3
actress,noun,1
actual,adj,3
actually,adv,3
adapt,verb,2
adaptation,noun,1
add,verb,3
added,adj,2
addict,noun,1
addiction,noun,1
addition,noun,2
additional,adj,2
address,noun,3
address,verb,2
adequate,adj,3
adjacent,adj,1
adjective,noun,1
adjust,verb,2
adjustment,noun,2
administration,noun,1
administrative,adj,2
administrator,noun,1
admiration,noun,1
admire,verb,2
admission,noun,2
admit,verb,3
admittedly,adv,1
adolescent,noun,1
adopt,verb,3
adoption,noun,1
adult,noun,3
adult,adj,2
advance,noun,2
advance,verb,2
advanced,adj,3
advantage,noun,3
adventure,noun,2
adverb,noun,1
adverse,adj,1
advert,noun,1
advertise,verb,2
advertisement,noun,2
advertising,noun,2
advice,noun,3
advise,verb,3
adviser,noun,2
advisory,adj,1
advocate,verb,1
advocate,noun,1
aeroplane,noun,1
affair,noun,3
